id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.division,children_count.district,children_count.upazila,zip_codes,geo.lat,geo.lon
BD10,1,বিভাগ,Division,বরিশাল,Barishal,barishal-bd10,BD10,,,,,,6,42,,22.393,90.406
BD1004,2,জেলা,District,বরগুনা,Barguna,barguna-bd1004,BD1004,,BD10,বরিশাল,Barishal,,,6,8710,22.128,90.11
BD1006,2,জেলা,District,বরিশাল,Barishal,barishal-bd1006,BD1006,,BD10,বরিশাল,Barishal,,,10,8240,22.819,90.369
BD1009,2,জেলা,District,ভোলা,Bhola,bhola-bd1009,BD1009,,BD10,বরিশাল,Barishal,,,7,8300,22.31,90.764
BD1042,2,জেলা,District,ঝালকাঠি,Jhalokati,jhalokati-bd1042,BD1042,,BD10,বরিশাল,Barishal,,,4,8402,22.572,90.182
BD1078,2,জেলা,District,পটুয়াখালী,Patuakhali,patuakhali-bd1078,BD1078,,BD10,বরিশাল,Barishal,,,8,8621,22.165,90.407
BD1079,2,জেলা,District,পিরোজপুর,Pirojpur,pirojpur-bd1079,BD1079,,BD10,বরিশাল,Barishal,,,7,8530,22.532,89.992
BD20,1,বিভাগ,Division,চট্টগ্রাম,Chattogram,chattogram-bd20,BD20,,,,,,11,104,,22.701,91.706
BD2003,2,জেলা,District,বান্দরবান,Bandarban,bandarban-bd2003,BD2003,,BD20,চট্টগ্রাম,Chattogram,,,7,4650,21.805,92.365
BD2012,2,জেলা,District,ব্রাহ্মণবাড়ীয়া,Brahmanbaria,brahmanbaria-bd2012,BD2012,,BD20,চট্টগ্রাম,Chattogram,,,9,3450,23.953,91.083
BD2013,2,জেলা,District,চাঁদপুর,Chandpur,chandpur-bd2013,BD2013,,BD20,চট্টগ্রাম,Chattogram,,,8,3602,23.261,90.749
BD2015,2,জেলা,District,চট্টগ্রাম,Chattogram,chattogram-bd2015,BD2015,,BD20,চট্টগ্রাম,Chattogram,,,15,4376,22.447,91.819
BD2019,2,জেলা,District,কুমিল্লা,Cumilla,cumilla-bd2019,BD2019,,BD20,চট্টগ্রাম,Chattogram,,,17,3560,23.437,91.033
BD2022,2,জেলা,District,কক্সবাজার,Cox's Bazar,coxs-bazar-bd2022,BD2022,,BD20,চট্টগ্রাম,Chattogram,,,9,4742,21.476,92.063
BD2030,2,জেলা,District,ফেনী,Feni,feni-bd2030,BD2030,,BD20,চট্টগ্রাম,Chattogram,,,6,3910,22.995,91.412
BD2046,2,জেলা,District,খাগড়াছড়ি,Khagrachhari,khagrachhari-bd2046,BD2046,,BD20,চট্টগ্রাম,Chattogram,,,9,4420,23.172,91.956
