id,name.local,name.en,name.slug,code.id,children_count.upazila,zip_codes,geo.lat,geo.lon
BD5527,দিনাজপুর,Dinajpur,dinajpur-bd5527,BD5527,13,5270,25.63,88.786
BD5532,গাইবান্ধা,Gaibandha,gaibandha-bd5532,BD5532,7,5750,25.298,89.505
BD5549,কুড়িগ্রাম,Kurigram,kurigram-bd5549,BD5549,9,5670,25.79,89.695
BD5552,লালমনিরহাট,Lalmonirhat,lalmonirhat-bd5552,BD5552,5,5510,26.063,89.237
BD5573,নীলফামারী,Nilphamari,nilphamari-bd5573,BD5573,6,5350,26.026,88.93
BD5577,পঞ্চগড়,Panchagarh,panchagarh-bd5577,BD5577,5,5010,26.285,88.579
BD5585,রংপুর,Rangpur,rangpur-bd5585,BD5585,8,5430,25.651,89.237
BD5594,ঠাকুরগাঁও,Thakurgaon,thakurgaon-bd5594,BD5594,5,5140,25.99,88.345
